id,created_at,price,product_id,updated_at
210,2019-06-25 14:32:57.450000,"123,41",8074,2019-06-25 14:32:57.450000
211,2019-06-25 14:34:13.924000,"436,91",11738,2019-06-25 14:34:13.924000
212,2019-06-25 14:35:30.036000,"107,90",17905,2019-06-25 14:35:30.036000
213,2019-06-25 14:35:42.882000,"99,00",7012,2019-06-25 14:35:42.882000
214,2019-06-25 14:36:35.844000,"189,90",12560,2019-06-25 14:36:35.844000
215,2019-06-25 14:37:26.194000,"344,90",14368,2019-06-25 14:37:26.194000
216,2019-06-25 14:38:30.938000,"359,10",11199,2019-06-25 14:38:30.938000
217,2019-06-25 14:39:17.596000,"1.390,00",12307,2019-06-25 14:39:17.596000
218,2019-06-25 14:39:22.674000,"36,99",13990,2019-06-25 14:39:22.674000
219,2019-06-25 14:39:27.564000,"7.739,91",11040,2019-06-25 14:39:27.564000
220,2019-06-25 14:40:41.962000,"79,99",16955,2019-06-25 14:40:41.962000
221,2019-06-25 14:40:47.408000,"313,41",7989,2019-06-25 14:40:47.408000
222,2019-06-25 14:41:14.291000,"359,00",8083,2019-06-25 14:41:14.291000
223,2019-06-25 14:41:50.713000,"669,60",12626,2019-06-25 14:41:50.713000
224,2019-06-25 14:42:56.740000,"344,90",14368,2019-06-25 14:42:56.740000
225,2019-06-25 14:43:03.376000,"58,90",8696,2019-06-25 14:43:03.376000
226,2019-06-25 14:43:16.621000,"49,90",17679,2019-06-25 14:43:16.621000
227,2019-06-25 14:43:32.003000,"260,91",11809,2019-06-25 14:43:32.004000
228,2019-06-25 14:43:51.887000,"109,99",16909,2019-06-25 14:43:51.887000
229,2019-06-25 14:44:00.143000,"93,90",12692,2019-06-25 14:44:00.143000
230,2019-06-25 14:44:42.246000,"79,90",14911,2019-06-25 14:44:42.246000
231,2019-06-25 14:44:52.108000,"21,90",14922,2019-06-25 14:44:52.108000
232,2019-06-25 14:45:08.363000,"113,08",17701,2019-06-25 14:45:08.363000
233,2019-06-25 14:46:31.337000,"599,00",11243,2019-06-25 14:46:31.337000
234,2019-06-25 14:46:56.539000,"2.099,00",11238,2019-06-25 14:46:56.539000
235,2019-06-25 14:47:05.706000,"4.229,10",10351,2019-06-25 14:47:05.706000
236,2019-06-25 14:48:12.760000,"189,91",11408,2019-06-25 14:48:12.760000
237,2019-06-25 14:48:43.781000,"989,00",7023,2019-06-25 14:48:43.782000
238,2019-06-25 14:48:52.205000,"159,38",13897,2019-06-25 14:48:52.205000
239,2019-06-25 14:50:37.772000,"2.276,91",13489,2019-06-25 14:50:37.772000
240,2019-06-25 14:50:48.794000,"41,99",9947,2019-06-25 14:50:48.794000
241,2019-06-25 14:51:16.200000,"156,66",11395,2019-06-25 14:51:16.200000
242,2019-06-25 14:51:20.545000,"129,00",12041,2019-06-25 14:51:20.545000
243,2019-06-25 14:51:50.573000,"489,90",10600,2019-06-25 14:51:50.573000
244,2019-06-25 14:52:33.826000,"2.159,10",12047,2019-06-25 14:52:33.826000
245,2019-06-25 14:53:03.659000,"2.519,10",13532,2019-06-25 14:53:03.659000
246,2019-06-25 14:53:36.864000,"359,00",11490,2019-06-25 14:53:36.864000
247,2019-06-25 14:53:44.745000,"142,99",13179,2019-06-25 14:53:44.745000
248,2019-06-25 14:53:49.681000,"156,66",11439,2019-06-25 14:53:49.681000
249,2019-06-25 14:53:56.871000,"4.099,90",11330,2019-06-25 14:53:56.871000
250,2019-06-25 14:54:21.783000,"2.789,10",10364,2019-06-25 14:54:21.783000
251,2019-06-25 14:54:48.989000,"53,40",14969,2019-06-25 14:54:48.989000
252,2019-06-25 14:54:49.012000,"459,00",11447,2019-06-25 14:54:49.012000
253,2019-06-25 14:55:03.137000,"369,55",7987,2019-06-25 14:55:03.137000
254,2019-06-25 14:55:30.863000,"89,90",7931,2019-06-25 14:55:30.863000
255,2019-06-25 14:55:56.550000,"64,90",11401,2019-06-25 14:55:56.550000
256,2019-06-25 14:56:02.758000,"129,00",7838,2019-06-25 14:56:02.758000
257,2019-06-25 14:56:15.875000,"359,99",11386,2019-06-25 14:56:15.875000
258,2019-06-25 14:56:24.673000,"512,91",11088,2019-06-25 14:56:24.673000
259,2019-06-25 14:56:41.733000,"15,91",15926,2019-06-25 14:56:41.733000
260,2019-06-25 14:56:54.837000,"902,41",8276,2019-06-25 14:56:54.838000
261,2019-06-25 14:57:53.500000,"910,80",11306,2019-06-25 14:57:53.500000
262,2019-06-25 14:58:44.682000,"827,91",9568,2019-06-25 14:58:44.682000
263,2019-06-25 14:59:23.018000,"89,90",8038,2019-06-25 14:59:23.018000
264,2019-06-25 14:59:29.314000,"89,90",15109,2019-06-25 14:59:29.314000
265,2019-06-25 14:59:42.648000,"199,99",17354,2019-06-25 14:59:42.648000
266,2019-06-25 15:00:19.684000,"433,10",11284,2019-06-25 15:00:19.684000
267,2019-06-25 15:00:49.454000,"58,90",8029,2019-06-25 15:00:49.454000
268,2019-06-25 15:01:31.418000,"1.079,91",9982,2019-06-25 15:01:31.418000
269,2019-06-25 15:01:48.692000,"729,90",17111,2019-06-25 15:01:48.692000
270,2019-06-25 15:01:53.295000,"84,97",9972,2019-06-25 15:01:53.295000
271,2019-06-25 15:01:59.795000,"157,30",11908,2019-06-25 15:01:59.795000
272,2019-06-25 15:02:05.578000,"349,90",17309,2019-06-25 15:02:05.578000
273,2019-06-25 15:03:26.962000,"283,96",11450,2019-06-25 15:03:26.962000
274,2019-06-25 15:03:50.137000,"94,90",11369,2019-06-25 15:03:50.137000
275,2019-06-25 15:03:54.065000,"459,00",11976,2019-06-25 15:03:54.065000
276,2019-06-25 15:04:11.440000,"1.799,91",12580,2019-06-25 15:04:11.440000
277,2019-06-25 15:04:23.704000,"689,00",11223,2019-06-25 15:04:23.704000
278,2019-06-25 15:04:48.459000,"17,83",8931,2019-06-25 15:04:48.459000
279,2019-06-25 15:05:59.551000,"399,99",8116,2019-06-25 15:05:59.551000
280,2019-06-25 15:06:06.854000,"119,03",17687,2019-06-25 15:06:06.854000
281,2019-06-25 15:06:21.044000,"149,00",17327,2019-06-25 15:06:21.044000
282,2019-06-25 15:06:44.269000,"38,99",12849,2019-06-25 15:06:44.269000
283,2019-06-25 15:07:00.768000,"354,00",17352,2019-06-25 15:07:00.768000
284,2019-06-25 15:07:16.294000,"24,18",14120,2019-06-25 15:07:16.294000
285,2019-06-25 15:07:20.485000,"167,50",13472,2019-06-25 15:07:20.485000
286,2019-06-25 15:08:22.918000,"739,90",11857,2019-06-25 15:08:22.918000
287,2019-06-25 15:08:45.822000,"1.889,91",10962,2019-06-25 15:08:45.822000
288,2019-06-25 15:08:52.499000,"50,07",8596,2019-06-25 15:08:52.499000
289,2019-06-25 15:09:02.111000,"1.655,91",11197,2019-06-25 15:09:02.111000
290,2019-06-25 15:09:04.768000,"47,90",7821,2019-06-25 15:09:04.768000
291,2019-06-25 15:09:20.398000,"296,91",11109,2019-06-25 15:09:20.398000
292,2019-06-25 15:09:38.051000,"3.199,90",11217,2019-06-25 15:09:38.051000
293,2019-06-25 15:10:00.053000,"494,91",11160,2019-06-25 15:10:00.053000
294,2019-06-25 15:10:00.512000,"1.231,12",10265,2019-06-25 15:10:00.513000
295,2019-06-25 15:10:12.307000,"34,90",14760,2019-06-25 15:10:12.307000
296,2019-06-25 15:10:18.669000,"4,90",16042,2019-06-25 15:10:18.669000
297,2019-06-25 15:17:20.114000,"489,99",8117,2019-06-25 15:17:20.114000
298,2019-06-25 15:18:10.122000,"99,90",12764,2019-06-25 15:18:10.122000
299,2019-06-25 15:18:42.050000,"26,90",9307,2019-06-25 15:18:42.051000
300,2019-06-25 15:19:41.747000,"9,99",15639,2019-06-25 15:19:41.747000
301,2019-06-25 15:22:49.206000,"65,85",15312,2019-06-25 15:22:49.206000
302,2019-06-25 15:22:55.507000,"589,99",7161,2019-06-25 15:22:55.507000
303,2019-06-25 15:23:38.870000,"371,00",12644,2019-06-25 15:23:38.870000
304,2019-06-25 15:24:43.838000,"189,00",7826,2019-06-25 15:24:43.838000
305,2019-06-25 15:25:07.435000,"863,10",11279,2019-06-25 15:25:07.435000
306,2019-06-25 15:26:03.350000,"129,99",17403,2019-06-25 15:26:03.350000
307,2019-06-25 15:30:08.511000,"30,90",16293,2019-06-25 15:30:08.511000
308,2019-06-25 15:30:14.887000,"102,99",17198,2019-06-25 15:30:14.887000
309,2019-06-25 15:31:06.130000,"74,90",11808,2019-06-25 15:31:06.130000
310,2019-06-25 15:31:44.178000,"20,79",15862,2019-06-25 15:31:44.178000
311,2019-06-25 15:31:50.627000,"17,90",16046,2019-06-25 15:31:50.627000
312,2019-06-25 15:34:00.306000,"268,00",7718,2019-06-25 15:34:00.306000
313,2019-06-25 15:34:38.938000,"836,91",12405,2019-06-25 15:34:38.938000
314,2019-06-25 15:35:40.931000,"1.124,91",10314,2019-06-25 15:35:40.931000
315,2019-06-25 15:36:26.234000,"14,76",14512,2019-06-25 15:36:26.234000
316,2019-06-25 15:37:29.430000,"1.394,91",11152,2019-06-25 15:37:29.430000
317,2019-06-25 15:37:35.247000,"789,83",12974,2019-06-25 15:37:35.247000
318,2019-06-25 15:38:05.059000,"939,00",17210,2019-06-25 15:38:05.059000
319,2019-06-25 15:39:03.704000,"99,90",14077,2019-06-25 15:39:03.704000
320,2019-06-25 15:39:22.300000,"329,00",8383,2019-06-25 15:39:22.300000
321,2019-06-25 15:40:09.774000,"16,59",15203,2019-06-25 15:40:09.774000
322,2019-06-25 15:40:47.279000,"284,05",11400,2019-06-25 15:40:47.279000
323,2019-06-25 15:42:34.025000,"128,90",10654,2019-06-25 15:42:34.025000
324,2019-06-25 15:43:11.901000,"64,80",9205,2019-06-25 15:43:11.901000
325,2019-06-25 15:44:37.400000,"43,90",9554,2019-06-25 15:44:37.400000
326,2019-06-25 15:44:56.718000,"1.299,00",7327,2019-06-25 15:44:56.718000
327,2019-06-25 15:47:01.905000,"313,41",11754,2019-06-25 15:47:01.905000
328,2019-06-25 15:47:58.786000,"109,90",14958,2019-06-25 15:47:58.786000
